Field(0, 0)
Medicine(13360, 80, *)
Medicine(28880, 160, *)
Medicine(29040, 160, +)
Medicine(640, 800, +)
Armor(1280, 800, })
Armor(15760, 800, })
Medicine(25360, 1360, *)
Armor(28080, 1920, })
Armor(15360, 2480, })
Medicine(6880, 3280, +)
Medicine(15200, 3680, +)
Medicine(4080, 4080, +)
Medicine(11360, 4160, +)
Medicine(22880, 4240, *)
Medicine(31840, 4400, *)
Medicine(14160, 4880, +)
Armor(28960, 4960, })
Armor(20960, 5200, })
Medicine(2720, 5680, +)
Armor(2480, 5840, })
Medicine(31360, 7040, +)
Medicine(30480, 7840, *)
Medicine(31840, 7840, *)
Medicine(6800, 8400, +)
Medicine(560, 8640, +)
Medicine(25040, 10480, *)
Medicine(30080, 11760, +)
Medicine(30960, 12160, *)
Medicine(16000, 12320, +)
Medicine(13440, 12800, *)
Medicine(9760, 13280, +)
Medicine(18400, 13280, +)
Medicine(13920, 13760, *)
Medicine(13280, 14240, +)
Medicine(25680, 15760, *)
Medicine(19600, 16000, *)
Medicine(560, 16080, *)
Medicine(19040, 16560, +)
Medicine(25920, 17040, *)
Medicine(23920, 17120, *)
Medicine(8560, 17920, +)
Medicine(14240, 19040, +)
Medicine(160, 19440, *)
Medicine(12000, 19520, +)
Medicine(22320, 19520, *)
Medicine(8960, 19600, +)
Armor(31680, 19680, })
Medicine(16880, 19840, *)
Medicine(13440, 20000, +)
Medicine(31280, 20000, +)
Medicine(14400, 20320, *)
Medicine(17040, 20320, *)
Medicine(14800, 20960, +)
Armor(2480, 21600, })
Medicine(11760, 22000, *)
Medicine(25280, 22000, +)
Medicine(5600, 22080, +)
Armor(6400, 22800, {)
Medicine(15200, 22800, *)
Medicine(26080, 23120, *)
Medicine(13440, 23360, +)
Armor(27840, 24560, })
Medicine(7280, 25040, +)
Medicine(31280, 25040, +)
Medicine(7120, 26080, +)
Medicine(13680, 26080, *)
Medicine(17200, 26400, +)
Medicine(20000, 26560, +)
Medicine(26720, 27040, +)
Medicine(16240, 27360, +)
Armor(15920, 27440, })
Medicine(7600, 28080, +)
Medicine(26000, 28480, *)
Medicine(21120, 28880, *)
Weapon(20080, 240, y, 10, 10, 0)
Enemy(80, 720, c, 50, 1, [Weapon(80, 720, x, 3, 30, 0)])
Enemy(80, 800, d, 50, 1, [Weapon(80, 800, w, 7, 7, 0)])
Enemy(15360, 800, a, 50, 1, [Weapon(15360, 800, y, 10, 10, 0)])
Enemy(4560, 960, b, 50, 1, [Weapon(4560, 960, z, -1, 1, 0)])
Enemy(22880, 1360, d, 50, 1, [Weapon(22880, 1360, w, 7, 7, 0)])
Enemy(13680, 1520, b, 50, 1, [Weapon(13680, 1520, z, -1, 1, 0)])
Enemy(9040, 1920, d, 50, 1, [Weapon(9040, 1920, w, 7, 7, 0)])
Enemy(2080, 2800, a, 50, 1, [Weapon(2080, 2800, y, 10, 10, 0)])
Enemy(23120, 3520, c, 50, 1, [Weapon(23120, 3520, x, 3, 30, 0)])
Enemy(26960, 3840, a, 50, 1, [Weapon(26960, 3840, y, 10, 10, 0)])
Enemy(31600, 4000, a, 50, 1, [Weapon(31600, 4000, y, 10, 10, 0)])
Enemy(29200, 4960, a, 50, 1, [Weapon(29200, 4960, y, 10, 10, 0)])
Enemy(24480, 5280, a, 50, 1, [Weapon(24480, 5280, y, 10, 10, 0)])
Enemy(2640, 5360, a, 50, 1, [Weapon(2640, 5360, y, 10, 10, 0)])
Enemy(16480, 5600, a, 50, 1, [Weapon(16480, 5600, y, 10, 10, 0)])
Enemy(5520, 5680, c, 50, 1, [Weapon(5520, 5680, x, 3, 30, 0)])
Enemy(22960, 5760, a, 50, 1, [Weapon(22960, 5760, y, 10, 10, 0)])
Enemy(19120, 6480, c, 50, 1, [Weapon(19120, 6480, x, 3, 30, 0)])
Enemy(2720, 6960, b, 50, 1, [Weapon(2720, 6960, z, -1, 1, 0)])
Enemy(20880, 7360, b, 50, 1, [Weapon(20880, 7360, z, -1, 1, 0)])
Enemy(3840, 7680, b, 50, 1, [Weapon(3840, 7680, z, -1, 1, 0)])
Enemy(1120, 7840, a, 50, 1, [Weapon(1120, 7840, y, 10, 10, 0)])
Enemy(13760, 7840, b, 50, 1, [Weapon(13760, 7840, z, -1, 1, 0)])
Enemy(16320, 8480, c, 50, 1, [Weapon(16320, 8480, x, 3, 30, 0)])
Enemy(23920, 8480, c, 50, 1, [Weapon(23920, 8480, x, 3, 30, 0)])
Enemy(17520, 8880, d, 50, 1, [Weapon(17520, 8880, w, 7, 7, 0)])
Enemy(10560, 9200, a, 50, 1, [Weapon(10560, 9200, y, 10, 10, 0)])
Enemy(10320, 10240, c, 50, 1, [Weapon(10320, 10240, x, 3, 30, 0)])
Enemy(14080, 10400, c, 50, 1, [Weapon(14080, 10400, x, 3, 30, 0)])
Enemy(19200, 10560, c, 50, 1, [Weapon(19200, 10560, x, 3, 30, 0)])
Enemy(25520, 10640, a, 50, 1, [Weapon(25520, 10640, y, 10, 10, 0)])
Enemy(6720, 10720, c, 50, 1, [Weapon(6720, 10720, x, 3, 30, 0)])
Enemy(5760, 11840, a, 50, 1, [Weapon(5760, 11840, y, 10, 10, 0)])
Enemy(9600, 12320, a, 50, 1, [Weapon(9600, 12320, y, 10, 10, 0)])
Enemy(23760, 12880, d, 50, 1, [Weapon(23760, 12880, w, 7, 7, 0)])
Enemy(15200, 13040, a, 50, 1, [Weapon(15200, 13040, y, 10, 10, 0)])
Enemy(18320, 13040, c, 50, 1, [Weapon(18320, 13040, x, 3, 30, 0)])
Enemy(400, 13760, b, 50, 1, [Weapon(400, 13760, z, -1, 1, 0)])
Enemy(27360, 13840, c, 50, 1, [Weapon(27360, 13840, x, 3, 30, 0)])
Enemy(11280, 14160, c, 50, 1, [Weapon(11280, 14160, x, 3, 30, 0)])
Enemy(25520, 14240, b, 50, 1, [Weapon(25520, 14240, z, -1, 1, 0)])
Enemy(400, 15920, a, 50, 1, [Weapon(400, 15920, y, 10, 10, 0)])
Enemy(26960, 16240, b, 50, 1, [Weapon(26960, 16240, z, -1, 1, 0)])
Enemy(6560, 16320, d, 50, 1, [Weapon(6560, 16320, w, 7, 7, 0)])
Enemy(24080, 16400, c, 50, 1, [Weapon(24080, 16400, x, 3, 30, 0)])
Enemy(9520, 16560, a, 50, 1, [Weapon(9520, 16560, y, 10, 10, 0)])
Enemy(28320, 16640, b, 50, 1, [Weapon(28320, 16640, z, -1, 1, 0)])
Enemy(7280, 18000, d, 50, 1, [Weapon(7280, 18000, w, 7, 7, 0)])
Enemy(31200, 18000, b, 50, 1, [Weapon(31200, 18000, z, -1, 1, 0)])
Enemy(13120, 19360, d, 50, 1, [Weapon(13120, 19360, w, 7, 7, 0)])
Enemy(28880, 19600, a, 50, 1, [Weapon(28880, 19600, y, 10, 10, 0)])
Enemy(25520, 20000, d, 50, 1, [Weapon(25520, 20000, w, 7, 7, 0)])
Enemy(12800, 20080, b, 50, 1, [Weapon(12800, 20080, z, -1, 1, 0)])
Enemy(25280, 20080, a, 50, 1, [Weapon(25280, 20080, y, 10, 10, 0)])
Enemy(23600, 20800, a, 50, 1, [Weapon(23600, 20800, y, 10, 10, 0)])
Enemy(6480, 21200, b, 50, 1, [Weapon(6480, 21200, z, -1, 1, 0)])
Enemy(17840, 21280, a, 50, 1, [Weapon(17840, 21280, y, 10, 10, 0)])
Enemy(3600, 21360, a, 50, 1, [Weapon(3600, 21360, y, 10, 10, 0)])
Enemy(19760, 21600, c, 50, 1, [Weapon(19760, 21600, x, 3, 30, 0)])
Enemy(10560, 21680, c, 50, 1, [Weapon(10560, 21680, x, 3, 30, 0)])
Enemy(24480, 21680, b, 50, 1, [Weapon(24480, 21680, z, -1, 1, 0)])
Enemy(3920, 21760, d, 50, 1, [Weapon(3920, 21760, w, 7, 7, 0)])
Enemy(27040, 24320, b, 50, 1, [Weapon(27040, 24320, z, -1, 1, 0)])
Enemy(9280, 24800, a, 50, 1, [Weapon(9280, 24800, y, 10, 10, 0)])
Enemy(29120, 25760, b, 50, 1, [Weapon(29120, 25760, z, -1, 1, 0)])
Enemy(12640, 25920, d, 50, 1, [Weapon(12640, 25920, w, 7, 7, 0)])
Enemy(24240, 26480, d, 50, 1, [Weapon(24240, 26480, w, 7, 7, 0)])
Enemy(28320, 26800, b, 50, 1, [Weapon(28320, 26800, z, -1, 1, 0)])
Enemy(29280, 27600, c, 50, 1, [Weapon(29280, 27600, x, 3, 30, 0)])
Enemy(30480, 28640, d, 50, 1, [Weapon(30480, 28640, w, 7, 7, 0)])
Player(3400, 80, 100, 1, [Weapon(3400, 80, z, -1, 0, 700), Weapon(3400, 80, y, 10, 8, 458)])
